KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMEWRETD
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1971,0.002617426
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/30/1971,0.00313505
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1971,0.008019943
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/30/1971,0.004459446
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/29/1971,0.004705929
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1971,0.003694154
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,12/31/1971,0.005370241
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,1/31/1972,0.004238622
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,2/29/1972,0.004062208
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,3/30/1972,0.000648458
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,4/28/1972,0.003645386
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,5/31/1972,0.00389302
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,6/30/1972,0.002543284
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,7/31/1972,0.004967716
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,8/31/1972,0.001119795
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,9/29/1972,0.003487594
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,10/31/1972,0.004760065
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,11/30/1972,0.004916847
